Acquired on 5/10/2022 at 15:42:23
Calibrated on 5/10/2022 at 15:36:33
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB/mm)	
1.42653639E+000	-9.42932578E+001	
1.44724969E+000	-9.39518281E+001	
1.46796300E+000	-9.40784121E+001	
1.48867630E+000	-9.43694796E+001	
1.50938961E+000	-9.49079053E+001	
1.53010291E+000	-9.49910830E+001	
1.55081622E+000	-9.40263185E+001	
1.57152953E+000	-9.41523865E+001	
1.59224283E+000	-9.55920942E+001	
1.61295614E+000	-9.48212843E+001	
1.63366944E+000	-9.40739755E+001	
1.65438275E+000	-9.55355136E+001	
1.67509605E+000	-9.46215476E+001	
1.69580936E+000	-9.30102645E+001	
1.71652266E+000	-9.44691551E+001	
1.73723597E+000	-9.51484682E+001	
1.75794927E+000	-9.53539551E+001	
1.77866258E+000	-9.45682512E+001	
1.79937588E+000	-9.40188599E+001	
1.82008919E+000	-9.48494318E+001	
1.84080249E+000	-9.36204479E+001	
1.86151580E+000	-9.39252810E+001	
1.88222910E+000	-9.44884466E+001	
1.90294241E+000	-9.52551609E+001	
1.92365572E+000	-9.33092254E+001	
1.94436902E+000	-9.45177976E+001	
1.96508233E+000	-9.48726352E+001	
1.98579563E+000	-9.31565204E+001	
2.00650894E+000	-9.51565160E+001	
2.02722224E+000	-9.52217073E+001	
2.04793555E+000	-9.33850264E+001	
2.06864885E+000	-9.40872648E+001	
2.08936216E+000	-9.34282973E+001	
2.11007546E+000	-9.31154512E+001	
2.13078877E+000	-9.35141995E+001	
2.15150207E+000	-9.42570796E+001	
2.17221538E+000	-9.49572269E+001	
2.19292868E+000	-9.43862879E+001	
2.21364199E+000	-9.35180723E+001	
2.23435530E+000	-9.41383343E+001	
2.25506860E+000	-9.48765945E+001	
2.27578191E+000	-9.37612197E+001	
2.29649521E+000	-9.40516858E+001	
2.31720852E+000	-9.63040283E+001	
2.33792182E+000	-9.43537469E+001	
2.35863513E+000	-9.54728010E+001	
2.37934843E+000	-9.52856860E+001	
2.40006174E+000	-9.42867885E+001	
2.42077504E+000	-9.37229351E+001	
2.44148835E+000	-9.48460139E+001	
2.46220165E+000	-9.52005691E+001	
2.48291496E+000	-9.48451059E+001	
2.50362826E+000	-9.42971396E+001	
2.52434157E+000	-9.46967933E+001	
2.54505488E+000	-9.47576341E+001	
2.56576818E+000	-9.39806918E+001	
2.58648149E+000	-9.37959822E+001	
2.60719479E+000	-9.40974927E+001	
2.62790810E+000	-9.36101636E+001	
2.64862140E+000	-9.39493332E+001	
2.66933471E+000	-9.49214361E+001	
2.69004801E+000	-9.43348192E+001	
2.71076132E+000	-9.52901932E+001	
2.73147462E+000	-9.45084064E+001	
2.75218793E+000	-9.41124173E+001	
2.77290123E+000	-9.43406382E+001	
2.79361454E+000	-9.36142113E+001	
2.81432784E+000	-9.46277870E+001	
2.83504115E+000	-9.49595759E+001	
