Time (ns)	Amplitude (dB/mm)	
-1.32833322E+000	-9.40740548E+001	
-1.30761991E+000	-9.52492129E+001	
-1.28690661E+000	-9.49417523E+001	
-1.26619330E+000	-9.56747775E+001	
-1.24548000E+000	-9.54977148E+001	
-1.22476669E+000	-9.50364372E+001	
-1.20405339E+000	-9.51220508E+001	
-1.18334008E+000	-9.38804791E+001	
-1.16262678E+000	-9.48101015E+001	
-1.14191347E+000	-9.49622108E+001	
-1.12120017E+000	-9.47133218E+001	
-1.10048686E+000	-9.52217673E+001	
-1.07977356E+000	-9.44371657E+001	
-1.05906025E+000	-9.46673346E+001	
-1.03834694E+000	-9.49825726E+001	
-1.01763364E+000	-9.67787534E+001	
-9.96920334E-001	-9.28056801E+001	
-9.76207029E-001	-9.51253712E+001	
-9.55493724E-001	-9.52635197E+001	
-9.34780418E-001	-9.47304838E+001	
-9.14067113E-001	-9.67757963E+001	
-8.93353808E-001	-9.52363968E+001	
-8.72640502E-001	-9.51460303E+001	
-8.51927197E-001	-9.42252477E+001	
-8.31213892E-001	-9.60028095E+001	
-8.10500586E-001	-9.53298007E+001	
-7.89787281E-001	-9.55738237E+001	
-7.69073976E-001	-9.43623520E+001	
-7.48360671E-001	-9.39471782E+001	
-7.27647365E-001	-9.55824619E+001	
-7.06934060E-001	-9.54606224E+001	
-6.86220755E-001	-9.47493538E+001	
-6.65507449E-001	-9.40031264E+001	
-6.44794144E-001	-9.49824587E+001	
-6.24080839E-001	-9.45347779E+001	
-6.03367533E-001	-9.49158015E+001	
-5.82654228E-001	-9.46171642E+001	
-5.61940923E-001	-9.56030859E+001	
-5.41227617E-001	-9.63895607E+001	
-5.20514312E-001	-9.59295291E+001	
-4.99801007E-001	-9.59834450E+001	
-4.79087701E-001	-9.46352872E+001	
-4.58374396E-001	-9.49877650E+001	
-4.37661091E-001	-9.52552537E+001	
-4.16947785E-001	-9.58816154E+001	
-3.96234480E-001	-9.56273617E+001	
-3.75521175E-001	-9.46105640E+001	
-3.54807869E-001	-9.54456354E+001	
-3.34094564E-001	-9.52939478E+001	
-3.13381259E-001	-9.35349536E+001	
-2.92667954E-001	-9.56855756E+001	
-2.71954648E-001	-9.44187560E+001	
-2.51241343E-001	-9.44681451E+001	
-2.30528038E-001	-9.49391528E+001	
-2.09814732E-001	-9.56293609E+001	
-1.89101427E-001	-9.47370706E+001	
-1.68388122E-001	-9.49379163E+001	
-1.47674816E-001	-9.50856956E+001	
-1.26961511E-001	-9.49900898E+001	
-1.06248206E-001	-9.51386802E+001	
-8.55349003E-002	-9.55637134E+001	
-6.48215950E-002	-9.52456657E+001	
-4.41082897E-002	-9.51299067E+001	
-2.33949844E-002	-9.49473441E+001	
-2.68167905E-003	-6.19156443E+001	
1.80316263E-002	-9.41955447E+001	
3.87449316E-002	-9.49691097E+001	
5.94582369E-002	-9.48448849E+001	
8.01715422E-002	-9.59925644E+001	
1.00884848E-001	-9.36449231E+001	
1.21598153E-001	-9.48148576E+001	
1.42311458E-001	-9.46961740E+001	
1.63024763E-001	-9.43017441E+001	
1.83738069E-001	-9.54984326E+001	
2.04451374E-001	-9.52815203E+001	
2.25164679E-001	-9.50299487E+001	
2.45877985E-001	-9.51338593E+001	
2.66591290E-001	-9.45419182E+001	
2.87304595E-001	-9.50330418E+001	
3.08017901E-001	-9.54267033E+001	
3.28731206E-001	-9.57656985E+001	
3.49444511E-001	-9.53672110E+001	
3.70157817E-001	-9.33419225E+001	
3.90871122E-001	-9.60680144E+001	
4.11584427E-001	-9.32443158E+001	
4.32297733E-001	-9.47276831E+001	
4.53011038E-001	-9.55621098E+001	
4.73724343E-001	-9.41861397E+001	
4.94437649E-001	-9.45979547E+001	
5.15150954E-001	-9.42738808E+001	
5.35864259E-001	-9.60627465E+001	
5.56577565E-001	-9.54959444E+001	
5.77290870E-001	-9.43800111E+001	
5.98004175E-001	-9.50461878E+001	
6.18717481E-001	-9.51154814E+001	
6.39430786E-001	-9.49393364E+001	
6.60144091E-001	-9.47182505E+001	
6.80857396E-001	-9.44542828E+001	
7.01570702E-001	-9.51595991E+001	
7.22284007E-001	-9.40215758E+001	
7.42997312E-001	-9.44200798E+001	
7.63710618E-001	-9.42760798E+001	
7.84423923E-001	-9.55330301E+001	
8.05137228E-001	-9.39122031E+001	
8.25850534E-001	-9.43942200E+001	
8.46563839E-001	-9.36697372E+001	
8.67277144E-001	-9.54758898E+001	
8.87990450E-001	-9.44879069E+001	
9.08703755E-001	-9.35939550E+001	
9.29417060E-001	-9.40482092E+001	
9.50130366E-001	-9.47452145E+001	
9.70843671E-001	-9.52871852E+001	
9.91556976E-001	-9.48681709E+001	
1.01227028E+000	-9.52182405E+001	
1.03298359E+000	-9.48835289E+001	
1.05369689E+000	-9.51505611E+001	
1.07441020E+000	-9.46095671E+001	
1.09512350E+000	-9.68908226E+001	
1.11583681E+000	-9.43323609E+001	
1.13655011E+000	-9.55086964E+001	
1.15726342E+000	-9.55973985E+001	
1.17797672E+000	-9.45667581E+001	
1.19869003E+000	-9.48385910E+001	
1.21940333E+000	-9.44151693E+001	
1.24011664E+000	-9.63699992E+001	
1.26082995E+000	-9.48061782E+001	
1.28154325E+000	-9.39949546E+001	
1.30225656E+000	-9.56871380E+001	
1.32296986E+000	-9.44231107E+001	
1.34368317E+000	-9.42847718E+001	
1.36439647E+000	-9.42356967E+001	
1.38510978E+000	-9.57879885E+001	
1.40582308E+000	-9.53209388E+001	
1.42653639E+000	-9.49761170E+001	
1.44724969E+000	-9.43776202E+001	
1.46796300E+000	-9.54101981E+001	
1.48867630E+000	-9.45245964E+001	
1.50938961E+000	-9.45327456E+001	
1.53010291E+000	-9.58912167E+001	
1.55081622E+000	-9.47163721E+001	
1.57152953E+000	-9.51823019E+001	
1.59224283E+000	-9.46818128E+001	
1.61295614E+000	-9.54223115E+001	
1.63366944E+000	-9.36321136E+001	
1.65438275E+000	-9.57298451E+001	
1.67509605E+000	-9.48989179E+001	
1.69580936E+000	-9.36031563E+001	
1.71652266E+000	-9.46785423E+001	
1.73723597E+000	-9.46724456E+001	
1.75794927E+000	-9.51009379E+001	
1.77866258E+000	-9.50122375E+001	
1.79937588E+000	-9.40640528E+001	
1.82008919E+000	-9.40151963E+001	
1.84080249E+000	-9.44973638E+001	
1.86151580E+000	-9.45966698E+001	
1.88222910E+000	-9.57575771E+001	
1.90294241E+000	-9.48102185E+001	
1.92365572E+000	-9.45714208E+001	
1.94436902E+000	-9.56630869E+001	
1.96508233E+000	-9.50561001E+001	
1.98579563E+000	-9.43797941E+001	
2.00650894E+000	-9.44762317E+001	
2.02722224E+000	-9.62874902E+001	
2.04793555E+000	-9.45552196E+001	
2.06864885E+000	-9.53662000E+001	
2.08936216E+000	-9.52614754E+001	
2.11007546E+000	-9.42770746E+001	
2.13078877E+000	-9.53919923E+001	
2.15150207E+000	-9.57621415E+001	
2.17221538E+000	-9.52919041E+001	
2.19292868E+000	-9.59600912E+001	
2.21364199E+000	-9.54466643E+001	
2.23435530E+000	-9.58122165E+001	
2.25506860E+000	-9.48614412E+001	
2.27578191E+000	-9.41915476E+001	
2.29649521E+000	-9.44219675E+001	
2.31720852E+000	-9.47933974E+001	
2.33792182E+000	-9.58282856E+001	
2.35863513E+000	-9.38071396E+001	
2.37934843E+000	-9.67691451E+001	
2.40006174E+000	-9.48629009E+001	
2.42077504E+000	-9.58511798E+001	
2.44148835E+000	-9.44342777E+001	
2.46220165E+000	-9.54201292E+001	
2.48291496E+000	-9.61234817E+001	
2.50362826E+000	-9.49549452E+001	
2.52434157E+000	-9.49168039E+001	
2.54505488E+000	-9.58569896E+001	
2.56576818E+000	-9.45394869E+001	
2.58648149E+000	-9.34268003E+001	
2.60719479E+000	-9.48936330E+001	
2.62790810E+000	-9.49283503E+001	
2.64862140E+000	-9.41600206E+001	
2.66933471E+000	-9.57959740E+001	
2.69004801E+000	-9.60350141E+001	
2.71076132E+000	-9.49607962E+001	
2.73147462E+000	-9.52340167E+001	
2.75218793E+000	-9.47675944E+001	
2.77290123E+000	-9.47881129E+001	
2.79361454E+000	-9.46053747E+001	
2.81432784E+000	-9.66939003E+001	
2.83504115E+000	-9.42181414E+001	
2.85575445E+000	-9.43293049E+001	
2.87646776E+000	-9.46991480E+001	
2.89718107E+000	-9.50949785E+001	
2.91789437E+000	-9.46837586E+001	
2.93860768E+000	-9.52614124E+001	
2.95932098E+000	-9.62078239E+001	
2.98003429E+000	-9.52021584E+001	
3.00074759E+000	-9.40348999E+001	
3.02146090E+000	-9.48534403E+001	
3.04217420E+000	-9.45962157E+001	
3.06288751E+000	-9.40916801E+001	
3.08360081E+000	-9.43137702E+001	
3.10431412E+000	-9.64815200E+001	
3.12502742E+000	-9.55749958E+001	
3.14574073E+000	-9.61525437E+001	
3.16645403E+000	-9.40916776E+001	
3.18716734E+000	-9.56915591E+001	
3.20788065E+000	-9.43237003E+001	
3.22859395E+000	-9.48916369E+001	
3.24930726E+000	-9.51893967E+001	
3.27002056E+000	-9.51710856E+001	
3.29073387E+000	-9.53637713E+001	
3.31144717E+000	-9.58235395E+001	
3.33216048E+000	-9.56586400E+001	
3.35287378E+000	-9.42610475E+001	
3.37358709E+000	-9.45227916E+001	
3.39430039E+000	-9.37707675E+001	
3.41501370E+000	-9.52368358E+001	
3.43572700E+000	-9.53368932E+001	
3.45644031E+000	-9.53577194E+001	
3.47715361E+000	-9.48652496E+001	
3.49786692E+000	-9.56686423E+001	
3.51858023E+000	-9.59224062E+001	
3.53929353E+000	-9.51128791E+001	
3.56000684E+000	-9.49813580E+001	
3.58072014E+000	-9.65060365E+001	
3.60143345E+000	-9.45054432E+001	
3.62214675E+000	-9.55198347E+001	
3.64286006E+000	-9.37691852E+001	
3.66357336E+000	-9.50225549E+001	
3.68428667E+000	-9.41803265E+001	
3.70499997E+000	-9.43255252E+001	
3.72571328E+000	-9.52737643E+001	
3.74642658E+000	-9.40382085E+001	
